genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Snx27,9.489279262931567e-11,-0.1774834007634103,0.419,0.496,1.505758833441981e-6,IL2,p129
Riok2,9.557144963358463e-11,-0.11549936225546142,0.506,0.576,1.5165277627857208e-6,IL2,p129
Slc35a3,9.588256717849468e-11,-0.15643357498381438,0.297,0.362,1.5214645759883535e-6,IL2,p129
Ndc1,9.685844379070734e-11,-0.1372072620612821,0.338,0.402,1.5369497860709441e-6,IL2,p129
Atg16l2,9.989281982018908e-11,0.15661312675007033,0.319,0.326,1.5850992649067604e-6,IL2,p129
Ttc1,1.0454128013315015e-10,-0.14385795515435007,0.444,0.511,1.6588610331528267e-6,IL2,p129
Dpcd,1.073995182280208e-10,-0.10597364448409152,0.402,0.465,1.7042155552422342e-6,IL2,p129
Surf1,1.0920716937637611e-10,-0.13584761757318864,0.241,0.297,1.732899363664336e-6,IL2,p129
Rfc1,1.0928540174560615e-10,0.10997184725944198,0.856,0.871,1.7341407548992784e-6,IL2,p129
Ahctf1,1.1070320281467806e-10,-0.10998756220124607,0.62,0.683,1.7566384222633115e-6,IL2,p129
Gabarap,1.1273401835729459e-10,0.11840742413753508,0.711,0.724,1.7888634032935505e-6,IL2,p129
Ikbkg,1.2190992652428862e-10,0.12647990150076005,0.216,0.233,1.9344667140874117e-6,IL2,p129
Adipor2,1.2900896875001417e-10,0.1418290897780906,0.505,0.518,2.047114316125225e-6,IL2,p129
Snapc1,1.295933052934253e-10,0.1044296455208773,0.33,0.352,2.0563865683960725e-6,IL2,p129
Pepd,1.310056644894243e-10,0.16819156123611778,0.389,0.399,2.078797884118185e-6,IL2,p129
Rnf146,1.3845832590377833e-10,0.19684503918080054,0.275,0.282,2.1970567154411546e-6,IL2,p129
Ifnar2,1.4393151937894056e-10,-0.11329399129014561,0.275,0.327,2.2839053495050287e-6,IL2,p129
Map2k1,1.4900627533954064e-10,0.1446382173624461,0.406,0.419,2.364431577087831e-6,IL2,p129
Taf13,1.5019048829298497e-10,0.10973565527905937,0.264,0.282,2.3832226682330856e-6,IL2,p129
Itprid2,1.5609968761921018e-10,0.16471229497504325,0.095,0.107,2.476989843141627e-6,IL2,p129
Gcc2,1.6009450136142537e-10,-0.15257074782453928,0.399,0.465,2.540379547603098e-6,IL2,p129
Xpo4,1.6046168232037833e-10,-0.15624545355086328,0.485,0.556,2.5462059750597633e-6,IL2,p129
Eea1,1.6355388115958062e-10,-0.14382966380287088,0.857,0.893,2.5952729862402253e-6,IL2,p129
Dcaf15,1.7082298459869673e-10,0.13153623423110528,0.354,0.376,2.7106191196121197e-6,IL2,p129
Dpp3,1.759979984344212e-10,0.1146927392635334,0.462,0.48,2.7927362391573955e-6,IL2,p129
E2f6,1.8332376906872528e-10,0.2885739884037075,0.308,0.29,2.9089815675825327e-6,IL2,p129
Abcd3,1.8927417360133506e-10,-0.13896019962220274,0.401,0.468,3.0034025867059848e-6,IL2,p129
Msh2,1.9754939594431525e-10,0.18007347546539298,0.544,0.535,3.1347138148443946e-6,IL2,p129
Ado,2.0386446848102096e-10,0.25118318218879043,0.207,0.204,3.2349213858568404e-6,IL2,p129
Utrn,2.06919688301171e-10,0.11897545681935091,0.617,0.643,3.2834016139629816e-6,IL2,p129
Kdm6b,2.1269121408264357e-10,0.11620150608978874,0.219,0.251,3.374984185063388e-6,IL2,p129
AI662270,2.1913259215667066e-10,-0.15521767473592085,0.363,0.432,3.4771959723420503e-6,IL2,p129
Spryd7,2.2028630015580692e-10,0.1397982203772612,0.276,0.297,3.4955030108723443e-6,IL2,p129
Norad,2.2494333110085505e-10,0.11130628062958658,0.199,0.215,3.5694007779083677e-6,IL2,p129
Gm10131,2.2952066694653353e-10,-0.4111737389130754,0.151,0.213,3.642033943107594e-6,IL2,p129
Ccdc71,2.3105104802358018e-10,0.1096279388090915,0.364,0.383,3.66631803003817e-6,IL2,p129
Senp2,2.328426697737266e-10,-0.11846299628278545,0.676,0.74,3.6947474839694935e-6,IL2,p129
Ccni,2.3987276665881764e-10,0.10117746479330167,0.69,0.714,3.8063010613421185e-6,IL2,p129
Tuba1c,2.4285819718269415e-10,-0.18784501998453085,0.465,0.533,3.85367387289499e-6,IL2,p129
Gm2000,2.4307713451870244e-10,0.13329867000201534,0.534,0.55,3.85714797054277e-6,IL2,p129
Capn2,2.470550104551976e-10,0.22145442917846658,0.188,0.194,3.920268905903076e-6,IL2,p129
Cbfb,2.73576333769834e-10,0.11324318592346294,0.585,0.604,4.341109264259726e-6,IL2,p129
Zranb1,2.8839695423533965e-10,-0.13704913832832788,0.329,0.392,4.5762828698063696e-6,IL2,p129
Gtf2i,2.886578270247924e-10,-0.10480241545601832,0.513,0.574,4.580422399229406e-6,IL2,p129
Ndc80,2.969771457207815e-10,-0.11067014943693076,0.542,0.613,4.7124333482973605e-6,IL2,p129
Zbtb32,2.9877010737737436e-10,-0.26841240890195994,0.173,0.232,4.740884063864176e-6,IL2,p129
Gimap6,3.119874400578372e-10,0.16219244414937967,0.624,0.635,4.95061669883776e-6,IL2,p129
C1d,3.17753337579837e-10,-0.10788055830369003,0.717,0.781,5.042109960716853e-6,IL2,p129
Tmem241,3.2582617798150094e-10,0.1623641214128444,0.143,0.15,5.170209792210457e-6,IL2,p129
Tagap,3.397146640714238e-10,0.258875709129643,0.362,0.361,5.390592289485353e-6,IL2,p129
Arf3,3.4194397140205316e-10,0.1875137070176045,0.43,0.433,5.425966938207779e-6,IL2,p129
Fundc2,3.490811062380003e-10,0.12060567329033195,0.796,0.81,5.539218993784589e-6,IL2,p129
Tmem164,3.4941659378648587e-10,-0.136104658917366,0.427,0.496,5.544542510203958e-6,IL2,p129
Cop1,3.5813479396096886e-10,0.18552635040925525,0.394,0.394,5.682882910572654e-6,IL2,p129
Hbs1l,3.6510510010396945e-10,-0.12308541133368733,0.451,0.521,5.793487728449787e-6,IL2,p129
Usp48,3.6977357062030914e-10,0.10097341047107067,0.406,0.432,5.867567018603065e-6,IL2,p129
Impdh1,3.7873007048606844e-10,0.1577870313197809,0.354,0.37,6.0096887584729336e-6,IL2,p129
Kif20a,3.793666215383462e-10,-0.20838173732080056,0.378,0.447,6.0197895505704775e-6,IL2,p129
Med12,3.925243071411614e-10,-0.1651072602579582,0.308,0.37,6.228575705715949e-6,IL2,p129
Strn3,3.932057265809783e-10,-0.10067246695712645,0.579,0.648,6.239388469386964e-6,IL2,p129
Hmgn2-ps,3.991175242825504e-10,-0.11173128386344483,0.542,0.608,6.333196875315509e-6,IL2,p129
St6gal1,4.04703474299229e-10,-0.26464077523587215,0.273,0.342,6.421834730180166e-6,IL2,p129
Ube2g1,4.136322561067025e-10,0.10453776740594134,0.515,0.536,6.563516639901155e-6,IL2,p129
Asah1,4.2936160175148696e-10,0.15946577758525438,0.147,0.16,6.813109896592595e-6,IL2,p129
Cdc25b,4.3510712595256137e-10,-0.3951699572573739,0.128,0.176,6.904279874615244e-6,IL2,p129
Ergic1,4.5513253486082503e-10,-0.15614604839993965,0.715,0.783,7.222043063171571e-6,IL2,p129
Dgcr6,4.604678337354056e-10,0.21320193632132334,0.302,0.298,7.306703585713416e-6,IL2,p129
Pdk1,4.6454401087127457e-10,0.15469656182851543,0.256,0.272,7.371384364505385e-6,IL2,p129
Slc39a3,4.66548548116108e-10,0.11567754436509503,0.133,0.144,7.4031923615064014e-6,IL2,p129
Ccdc85b,4.767495561745992e-10,-0.11344346834617847,0.356,0.41,7.56506195737854e-6,IL2,p129
Tmbim1,5.009794416749416e-10,-0.2954479245183803,0.099,0.136,7.949541780497973e-6,IL2,p129
Ptpn22,5.173044316007295e-10,0.15618866301114281,0.543,0.559,8.208586720640374e-6,IL2,p129
Cdca2,5.672262752339271e-10,-0.16616751201626334,0.442,0.509,9.000746535411954e-6,IL2,p129
Dpy19l1,5.803115816463719e-10,0.2927219371203602,0.243,0.233,9.20838417756463e-6,IL2,p129
Kif2c,6.056482677742655e-10,-0.2509329776240814,0.331,0.401,9.610426713042045e-6,IL2,p129
Fam241a,6.339300724957098e-10,0.2686730399853281,0.295,0.285,1.0059202390361923e-5,IL2,p129
Srgap2,6.339311558506503e-10,-0.123440396916485,0.411,0.476,1.0059219581038119e-5,IL2,p129
Gen1,6.356496753915557e-10,-0.1386451800178805,0.391,0.465,1.0086489049113207e-5,IL2,p129
Pnpla8,6.513811747458792e-10,0.15447752166537887,0.206,0.216,1.033611648086761e-5,IL2,p129
Samhd1,6.560276470858375e-10,0.11150213466341272,0.587,0.601,1.0409846703958068e-5,IL2,p129
Armc10,6.625701290988192e-10,0.2022384597686948,0.379,0.381,1.0513662808540062e-5,IL2,p129
Fzr1,6.713249867828893e-10,-0.16810219426581796,0.442,0.505,1.0652584890270887e-5,IL2,p129
Nras,6.752175246006266e-10,-0.1544738138784041,0.473,0.547,1.0714351680362743e-5,IL2,p129
Mogs,6.96932053975689e-10,-0.10937677242036359,0.69,0.752,1.1058917832486232e-5,IL2,p129
Adpgk,7.054584541066343e-10,0.10648661382147195,0.329,0.351,1.1194214749764073e-5,IL2,p129
Myd88,7.175881027031829e-10,0.110019996558268,0.404,0.423,1.1386688013694106e-5,IL2,p129
Synrg,7.529061450719122e-10,0.2795850823290318,0.285,0.271,1.1947114710001103e-5,IL2,p129
Dhx33,7.559524949108667e-10,0.19810964847429746,0.219,0.226,1.1995454189245634e-5,IL2,p129
Mcu,7.750741540303321e-10,0.1464057878988868,0.46,0.468,1.2298876676153311e-5,IL2,p129
Galt,7.993598449530121e-10,0.2287809174171307,0.166,0.172,1.2684242019714395e-5,IL2,p129
Slc35e1,8.010560946302935e-10,0.13518044916255434,0.218,0.234,1.2711158109593496e-5,IL2,p129
Panx1,8.172083592703919e-10,0.10430074527298716,0.243,0.258,1.2967462244902579e-5,IL2,p129
Adh4,8.366587095376486e-10,-0.32843696206340134,0.156,0.212,1.3276100402943407e-5,IL2,p129
Prmt6,8.664596853848681e-10,0.335291931636275,0.157,0.151,1.3748982287687088e-5,IL2,p129
Mllt1,8.688290774560427e-10,0.11737394772580223,0.346,0.354,1.3786579801072484e-5,IL2,p129
Tcf3,8.865107107082232e-10,0.15388368080666648,0.515,0.522,1.4067151957518086e-5,IL2,p129
