genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
1700019D03Rik,3.185312323266677e-9,-2.32231896488719,0.013,0.056,5.054453594559563e-5,IL6,p129,2,moderate (1-5)
Kif23,3.194297249936951e-9,-0.43221835554949223,0.478,0.578,5.068710876199954e-5,IL6,p129,4,moderate (1-5)
Tnfsf9,3.200000577343986e-9,-0.8165007361631575,0.115,0.203,5.077760916129437e-5,IL6,p129,1,unique
Znrf2,3.220970732576778e-9,-0.46688242751224873,0.368,0.482,5.111036358452831e-5,IL6,p129,1,unique
Foxp4,3.303417282647171e-9,-0.43202348278366576,0.469,0.564,5.241862544104532e-5,IL6,p129,1,unique
Traf4,3.346689640036121e-9,0.39661827742583744,0.582,0.485,5.310527120809317e-5,IL6,p129,2,moderate (1-5)
Pdss1,3.383225819679437e-9,0.3934514852322484,0.56,0.485,5.3685027306673306e-5,IL6,p129,1,unique
Rad23b,3.413894235184118e-9,0.25540048485430306,0.805,0.785,5.417167372390159e-5,IL6,p129,1,unique
Lrp8,3.533552468344543e-9,0.8040984203756651,0.207,0.127,5.60704105676912e-5,IL6,p129,3,moderate (1-5)
Ywhaz,3.608445869819584e-9,0.1359612465505622,0.999,0.995,5.725881906229716e-5,IL6,p129,1,unique
Cox17,3.831670275895606e-9,0.22827096215411613,0.935,0.921,6.080094393791148e-5,IL6,p129,1,unique
Eno1,3.971703802103448e-9,0.2174165391567452,0.843,0.826,6.302299593177751e-5,IL6,p129,1,unique
Csnk1e,3.975129571188085e-9,0.5979307954202766,0.349,0.256,6.307735603561254e-5,IL6,p129,1,unique
Ndc80,4.031403096585103e-9,-0.40607908229715695,0.511,0.613,6.397030433661242e-5,IL6,p129,2,moderate (1-5)
Seh1l,4.2199738852647856e-9,0.2909915478357664,0.744,0.675,6.696254561138162e-5,IL6,p129,1,unique
Glipr1,4.271430661192124e-9,-0.4434606320100483,0.504,0.6,6.777906173179662e-5,IL6,p129,1,unique
Msmo1,4.292262475477501e-9,-0.5457353595323096,0.313,0.419,6.810962096087699e-5,IL6,p129,1,unique
3110082I17Rik,4.948458595035866e-9,0.3735706529936604,0.601,0.516,7.852214098602913e-5,IL6,p129,1,unique
Camk4,4.981729289286947e-9,-0.3344513717756103,0.596,0.696,7.905008036240529e-5,IL6,p129,1,unique
Ccdc86,5.093745318437468e-9,0.28775341933973286,0.761,0.684,8.082755071296574e-5,IL6,p129,1,unique
Mgat5,5.112960602625213e-9,-0.6052353564145216,0.236,0.343,8.113245884245688e-5,IL6,p129,1,unique
Tgoln1,5.168865596132167e-9,0.36757426666701903,0.613,0.534,8.201955927942522e-5,IL6,p129,1,unique
Aen,5.312893460577592e-9,0.30087050568928814,0.755,0.69,8.430499343244523e-5,IL6,p129,2,moderate (1-5)
mt-Atp6,5.3784595598874275e-9,-0.12406369332609746,1,0.999,8.534539629629369e-5,IL6,p129,1,unique
Irf2,5.430966295523451e-9,-0.5356596426754093,0.348,0.459,8.617857317736613e-5,IL6,p129,1,unique
Zfp36,6.270571842496831e-9,0.5959926265835873,0.356,0.263,9.950143399673972e-5,IL6,p129,1,unique
Cd160,6.387310161671071e-9,-1.2634431510968276,0.057,0.125,1.0135383764539654e-4,IL6,p129,1,unique
Ngdn,6.551899006121055e-9,0.4122662950910434,0.553,0.47,1.0396553342912892e-4,IL6,p129,1,unique
Mrpl20,6.577369757702926e-9,0.18160751384539145,0.961,0.937,1.0436970331523005e-4,IL6,p129,1,unique
Tk1,6.588057443218648e-9,-0.24745545275658637,0.73,0.813,1.045392955089935e-4,IL6,p129,1,unique
H2-T23,6.667197356348708e-9,0.3073917191566927,0.744,0.669,1.057950876505413e-4,IL6,p129,7,high (5-10)
Bbc3,6.721019643076766e-9,-0.6725144750302716,0.267,0.358,1.0664913969634212e-4,IL6,p129,1,unique
Tm4sf5,6.898863607078536e-9,-0.9136464601307548,0.123,0.206,1.094711677171222e-4,IL6,p129,2,moderate (1-5)
Mbnl1,6.987100404474634e-9,-0.16978677903172024,0.976,0.976,1.108713092182035e-4,IL6,p129,2,moderate (1-5)
Rprd1b,7.032766734706279e-9,0.33577982289857067,0.672,0.609,1.1159594254631924e-4,IL6,p129,1,unique
Utp20,7.155977888300181e-9,0.24095797841363997,0.867,0.816,1.1355105713154728e-4,IL6,p129,1,unique
Supt4a,7.348400840075351e-9,-0.25035290914196673,0.823,0.866,1.1660442453031568e-4,IL6,p129,2,moderate (1-5)
Ccl3,7.452266846828167e-9,-0.6535656217210644,0.151,0.243,1.1825257032546937e-4,IL6,p129,1,unique
Slc39a14,7.600894447254022e-9,0.7184431113915766,0.242,0.163,1.206109930890268e-4,IL6,p129,1,unique
Heca,7.631402091112199e-9,-0.7363882732113796,0.167,0.264,1.2109508838176835e-4,IL6,p129,1,unique
Rnf167,7.869391816684916e-9,-0.6753248690321865,0.213,0.312,1.2487150934715625e-4,IL6,p129,1,unique
P2ry10,7.981333474187476e-9,-1.006454344680071,0.073,0.147,1.2664779956840687e-4,IL6,p129,1,unique
Tubb6,8.004254184052385e-9,0.7940554197181724,0.238,0.171,1.2701150539254325e-4,IL6,p129,1,unique
Prc1,8.415962649937471e-9,-0.4244147708578571,0.489,0.559,1.3354449532920778e-4,IL6,p129,3,moderate (1-5)
Gm35113,8.616229046362209e-9,-0.996000270630844,0.081,0.156,1.3672232250767552e-4,IL6,p129,1,unique
Nol11,9.174808247180152e-9,0.2270432104519038,0.907,0.867,1.4558585726625462e-4,IL6,p129,1,unique
Mical1,1.0162399714404274e-8,0.6209435273430826,0.3,0.212,1.6125695866816702e-4,IL6,p129,1,unique
A630001G21Rik,1.0854298462282849e-8,-0.4751486872698558,0.368,0.474,1.7223600799950425e-4,IL6,p129,1,unique
I730030J21Rik,1.0941597087896508e-8,-0.854299467574295,0.12,0.203,1.7362126259074176e-4,IL6,p129,2,moderate (1-5)
Zfp318,1.1034286245300697e-8,-0.5674290765855341,0.276,0.382,1.7509205414043146e-4,IL6,p129,1,unique
Npm3,1.1050837416317705e-8,0.16469170923465914,0.977,0.959,1.753546881221293e-4,IL6,p129,2,moderate (1-5)
Cep85l,1.1191663028870389e-8,-0.7701130568707755,0.123,0.212,1.7758930894211532e-4,IL6,p129,2,moderate (1-5)
Ppp1cc,1.1623213440783284e-8,0.18262802346228943,0.96,0.946,1.8443715087834912e-4,IL6,p129,1,unique
Polr1d,1.2100083775854968e-8,0.12943357029379587,0.981,0.984,1.9200412935526664e-4,IL6,p129,1,unique
Brix1,1.2125363191131923e-8,0.21523959448737703,0.918,0.883,1.9240526311688135e-4,IL6,p129,1,unique
Eeig1,1.2378311814857162e-8,0.8093329799696662,0.197,0.127,1.9641905187815344e-4,IL6,p129,1,unique
Myo1e,1.258966045787996e-8,-1.641819925562399,0.024,0.075,1.997727321456392e-4,IL6,p129,1,unique
Eif3a,1.2642489391434411e-8,0.123792916002734,0.998,0.99,2.006110216632812e-4,IL6,p129,1,unique
Parp8,1.3182411251838615e-8,-0.707107697082753,0.161,0.253,2.0917850174417515e-4,IL6,p129,1,unique
Srsf1,1.4565110870253246e-8,0.22162401090676564,0.895,0.852,2.311191792891785e-4,IL6,p129,1,unique
Dennd1b,1.464755352281146e-8,-0.5061781412026867,0.342,0.446,2.324273792999723e-4,IL6,p129,1,unique
Cycs,1.4928970286429443e-8,0.16365634125034667,0.979,0.972,2.368929005050624e-4,IL6,p129,2,moderate (1-5)
Gbp5,1.500260245478811e-8,0.7521861131290908,0.232,0.151,2.3806129575257772e-4,IL6,p129,6,high (5-10)
Abce1,1.5040748874762154e-8,0.1937865959580948,0.923,0.88,2.3866660314472585e-4,IL6,p129,1,unique
Chd6,1.5067594147269833e-8,-0.5502897205070674,0.288,0.392,2.390925839288777e-4,IL6,p129,1,unique
Ncapd2,1.5194684742263475e-8,-0.3767514405385421,0.63,0.695,2.4110925749023683e-4,IL6,p129,4,moderate (1-5)
St8sia1,1.5418501792945963e-8,-0.91968137461059,0.1,0.178,2.4466078645046655e-4,IL6,p129,1,unique
2310010J17Rik,1.553592486325328e-8,0.7278794079770163,0.237,0.163,2.4652405573010307e-4,IL6,p129,1,unique
Hspa8,1.6082579341806313e-8,0.1741513882718655,1,1,2.551983689957826e-4,IL6,p129,1,unique
Efhd2,1.648213956875153e-8,0.3078390966842431,0.723,0.662,2.615385906769493e-4,IL6,p129,2,moderate (1-5)
Mif4gd,1.692906388449933e-8,0.35907347350720326,0.63,0.571,2.6863038571923537e-4,IL6,p129,2,moderate (1-5)
