genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Emb,3.986918178401013e-21,0.38418261836195033,0.86,0.802,6.326441765486727e-17,IL6,p129,1,unique
Gm56573,4.7850531059210605e-21,-1.3599513385219035,0.094,0.232,7.592922268475538e-17,IL6,p129,2,moderate (1-5)
Emp3,5.40844202557179e-21,-0.6863360901893084,0.415,0.576,8.582115806177315e-17,IL6,p129,2,moderate (1-5)
Atp11a,6.474943355330079e-21,1.0377124146956818,0.299,0.166,1.0274440116237771e-16,IL6,p129,4,moderate (1-5)
Jak3,6.610163773486114e-21,0.7006545010359564,0.489,0.37,1.0489007875767765e-16,IL6,p129,1,unique
Paip2,6.737951711259515e-21,-0.5431580294766118,0.634,0.754,1.06917817754266e-16,IL6,p129,1,unique
Rgs16,7.69243145541613e-21,1.037345780794532,0.357,0.234,1.2206350233454315e-16,IL6,p129,1,unique
Dock11,8.046350179812703e-21,-0.49839646866239967,0.666,0.789,1.2767948465326795e-16,IL6,p129,1,unique
Tespa1,9.717718745902966e-21,-0.6394998174840454,0.479,0.628,1.5420076105998826e-16,IL6,p129,4,moderate (1-5)
Eif6,1.1496662062836103e-20,0.3243985087107113,0.938,0.898,1.8242903361308332e-16,IL6,p129,2,moderate (1-5)
Nsun2,1.3238044439301564e-20,0.33523904946866634,0.932,0.889,2.1006128916283724e-16,IL6,p129,1,unique
Ppan,1.3369111244657847e-20,0.3624140250146164,0.925,0.849,2.121410572302307e-16,IL6,p129,2,moderate (1-5)
Zfc3h1,1.355491523086878e-20,-0.7020076046576443,0.444,0.59,2.1508939488342583e-16,IL6,p129,4,moderate (1-5)
Psmd7,1.488996364334661e-20,0.2696093008489382,0.976,0.958,2.3627394309262404e-16,IL6,p129,2,moderate (1-5)
Rap1a,1.5136367655710688e-20,0.2812673113666231,0.971,0.952,2.401838819608172e-16,IL6,p129,2,moderate (1-5)
Trbc2,1.6640401962761054e-20,-0.46454217345192583,0.703,0.817,2.6404989834509243e-16,IL6,p129,2,moderate (1-5)
Il12rb1,2.1145318516847042e-20,0.8983100100748906,0.388,0.25,3.355339142253289e-16,IL6,p129,5,moderate (1-5)
Grap2,2.2076824336181994e-20,-0.8072168906083426,0.318,0.481,3.5031504856653595e-16,IL6,p129,1,unique
Idi1,2.2924637924679743e-20,-0.49971648221194087,0.726,0.837,3.637681545888182e-16,IL6,p129,4,moderate (1-5)
4930523C07Rik,2.76348710644353e-20,-0.7351136684543478,0.391,0.545,4.385101340504593e-16,IL6,p129,1,unique
Hnrnpf,2.9255580452985454e-20,0.21316191674465124,0.999,0.996,4.642275506279732e-16,IL6,p129,1,unique
Klf3,3.0121422876754064e-20,-1.0462081837214638,0.183,0.34,4.779667382083335e-16,IL6,p129,1,unique
Btla,3.1418619956226067e-20,-0.43624375793743386,0.832,0.877,4.985506614653952e-16,IL6,p129,3,moderate (1-5)
Tpx2,3.6846230137306033e-20,-0.4519552454407289,0.709,0.792,5.846759798187721e-16,IL6,p129,4,moderate (1-5)
Stk17b,4.2135231767648574e-20,-0.49556980133215345,0.595,0.734,6.686018576890475e-16,IL6,p129,2,moderate (1-5)
Timm8a1,4.4410046043847033e-20,0.34533819591763426,0.919,0.862,7.046986106237646e-16,IL6,p129,2,moderate (1-5)
Rnft1,4.9426025494445654e-20,0.6116868243068005,0.579,0.455,7.842921725458638e-16,IL6,p129,1,unique
Ube2c,5.21674400764456e-20,-0.5831321010179568,0.674,0.761,8.277929391330389e-16,IL6,p129,5,moderate (1-5)
Icam1,5.686626149137703e-20,1.0623307460723077,0.284,0.153,9.02353837345171e-16,IL6,p129,6,high (5-10)
Cdk6,6.064319028845446e-20,0.5460620299600322,0.688,0.565,9.622861434971953e-16,IL6,p129,2,moderate (1-5)
Limd2,7.111785544098598e-20,-0.33177997720840624,0.918,0.958,1.1284981301375655e-15,IL6,p129,5,moderate (1-5)
Itga3,8.65278536903045e-20,2.176928722321721,0.1,0.026,1.373023982357752e-15,IL6,p129,1,unique
Sntb1,8.761719318153737e-20,-1.122947877294933,0.16,0.308,1.390309621404635e-15,IL6,p129,1,unique
Med14,9.826004613369912e-20,-0.6371671628893699,0.485,0.627,1.5591904120495377e-15,IL6,p129,2,moderate (1-5)
Twsg1,1.4150484785345454e-19,0.9857564066179748,0.316,0.185,2.2453989257386167e-15,IL6,p129,1,unique
Ftl1,1.534117468175971e-19,0.28477469990799964,0.977,0.964,2.4343375985016306e-15,IL6,p129,1,unique
Rcsd1,1.553082338803523e-19,-0.8432364680528679,0.295,0.449,2.46443105521343e-15,IL6,p129,2,moderate (1-5)
Mllt6,1.6679686152607006e-19,0.8546296574866856,0.356,0.209,2.6467325986956803e-15,IL6,p129,2,moderate (1-5)
Ssh2,1.8636990005006624e-19,-0.46345318805672286,0.613,0.764,2.9573175739944514e-15,IL6,p129,1,unique
Cd82,2.0020318399103257e-19,-0.4785730097667459,0.706,0.777,3.1768241235697043e-15,IL6,p129,4,moderate (1-5)
Ddx3x,2.0126522507511461e-19,0.3241431284978886,0.937,0.882,3.193676591491919e-15,IL6,p129,1,unique
Eif4a1,2.294693040363792e-19,0.18427730419298485,0.999,0.998,3.641218916449265e-15,IL6,p129,2,moderate (1-5)
Ikbke,4.016785709967e-19,-1.1509293058253625,0.14,0.282,6.373835564575635e-15,IL6,p129,3,moderate (1-5)
Ncf1,4.44941323323328e-19,-2.0649347291983537,0.042,0.138,7.060328918494569e-15,IL6,p129,1,unique
Pgam1,4.679351475815e-19,0.237784463825478,0.994,0.987,7.425194921823242e-15,IL6,p129,4,moderate (1-5)
Sptbn1,4.838628464391249e-19,-0.48271868455562783,0.632,0.76,7.677935647296034e-15,IL6,p129,2,moderate (1-5)
Mki67,5.015653016859789e-19,-0.3373076947664617,0.8,0.883,7.958838207153115e-15,IL6,p129,4,moderate (1-5)
Tspan6,5.288604186771225e-19,1.2271757369688694,0.22,0.118,8.391957123568582e-15,IL6,p129,1,unique
Gapdh,5.455631965242055e-19,0.2138540193074077,0.983,0.984,8.656996802446093e-15,IL6,p129,2,moderate (1-5)
