genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Ctu2,1.4764881822133362e-8,-0.2120411575602428,0.355,0.43,2.342891447536122e-4,IL2,p129,1,unique
Ppih,1.4865938199285272e-8,-0.11904893701885522,0.596,0.661,2.3589270734625868e-4,IL2,p129,1,unique
Rrs1,1.5083545368473773e-8,-0.12341020536409145,0.667,0.736,2.3934569790694184e-4,IL2,p129,1,unique
Pdgfb,1.5283189440426936e-8,-0.24222548094851024,0.269,0.334,2.4251365004069464e-4,IL2,p129,2,moderate (1-4)
Hmgn5,1.5547539885972253e-8,-0.11932397940404804,0.472,0.544,2.4670836291060765e-4,IL2,p129,2,moderate (1-4)
Kpna2,1.6027121558864342e-8,-0.2517824732045094,0.595,0.658,2.543183648960594e-4,IL2,p129,1,unique
Efhd2,1.6066052622626477e-8,0.10934817647239356,0.63,0.64,2.549361230158369e-4,IL2,p129,2,moderate (1-4)
Ythdc2,1.625949414408636e-8,0.15205173406271877,0.251,0.26,2.580056530783624e-4,IL2,p129,1,unique
Vps26b,1.6493473068348904e-8,0.14064775701685828,0.321,0.332,2.617184306485604e-4,IL2,p129,1,unique
Fam172a,1.6700910149791553e-8,0.12712763906691554,0.738,0.753,2.6501004225689236e-4,IL2,p129,1,unique
H3c6,1.6747132664306722e-8,-0.15226429942465924,0.509,0.579,2.6574350111721904e-4,IL2,p129,1,unique
Tbc1d5,1.6996091361806502e-8,0.10651820216539298,0.51,0.533,2.696939777291456e-4,IL2,p129,1,unique
Rnmt,1.8730615726707418e-8,-0.10719235085903316,0.558,0.629,2.972174103513933e-4,IL2,p129,1,unique
Gm2000,1.9427842165662743e-8,0.11545056134288634,0.515,0.533,3.082809994847364e-4,IL2,p129,1,unique
Sptlc1,2.0502102766034647e-8,0.13663445552763065,0.383,0.395,3.253273666914378e-4,IL2,p129,1,unique
Selenoh,2.172141382275579e-8,-0.12613481792351244,0.914,0.941,3.4467539453948893e-4,IL2,p129,2,moderate (1-4)
Sh3bp2,2.2766485982037544e-8,0.1389342938430791,0.131,0.146,3.6125859956297174e-4,IL2,p129,1,unique
Cox20,2.3576792890460015e-8,0.18507967049348029,0.366,0.37,3.7411654958581953e-4,IL2,p129,1,unique
Pygb,2.3906840515251808e-8,0.14153510052890694,0.283,0.291,3.793537452960157e-4,IL2,p129,1,unique
Rab28,2.401541253138574e-8,0.12994163850287332,0.219,0.23,3.81076566048029e-4,IL2,p129,1,unique
Dock10,2.4444289891754033e-8,0.22531320941994248,0.813,0.8,3.87881992002353e-4,IL2,p129,3,moderate (1-4)
Bola1,2.4447845101079296e-8,0.1760262329522807,0.516,0.513,3.8793840606392624e-4,IL2,p129,1,unique
Bahd1,2.44737404095329e-8,0.15491640314645805,0.099,0.109,3.883493128184681e-4,IL2,p129,1,unique
C1d,2.4587868787028742e-8,-0.10379746679677992,0.704,0.765,3.90160301912572e-4,IL2,p129,1,unique
Igbp1,2.540096290618773e-8,0.13716305845119148,0.584,0.59,4.030624793953869e-4,IL2,p129,1,unique
Cited2,2.624885752888608e-8,-0.11026515039378793,0.261,0.311,4.165168712683643e-4,IL2,p129,2,moderate (1-4)
Ankrd40,2.663333223646e-8,-0.2638996289058093,0.244,0.316,4.226177159281473e-4,IL2,p129,1,unique
Atg5,2.7074916345500364e-8,-0.1021095205260254,0.475,0.535,4.296247725703998e-4,IL2,p129,1,unique
Mcm4,2.8447475262950075e-8,0.14705521146836675,0.927,0.912,4.514045374724918e-4,IL2,p129,1,unique
