genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Junb,4.8289241485167054e-27,0.5884389729619444,0.958,0.834,7.662536838866308e-23,IL27,p129
Stat3,6.896477413238072e-26,0.8867873940030176,0.734,0.49,1.0943330359326173e-21,IL27,p129
Lad1,4.514451218407317e-25,-0.9631456374529557,0.598,0.769,7.16353119336873e-21,IL27,p129
Il12rb1,9.722623420663215e-25,1.258577689114932,0.504,0.25,1.542785884390839e-20,IL27,p129
Cytip,4.351269832971797e-23,-0.7608031120379513,0.715,0.865,6.904594970959647e-19,IL27,p129
Socs1,9.876262001221003e-23,1.138222329359943,0.56,0.316,1.5671652543537486e-18,IL27,p129
H2-T23,1.4111133040774855e-22,0.680988713405329,0.839,0.669,2.239154590910154e-18,IL27,p129
Sla,1.692794879822229e-22,-0.7253542778166173,0.717,0.848,2.686126915301913e-18,IL27,p129
Batf,1.1007907403028744e-21,0.8802164235670045,0.676,0.458,1.746734746712601e-17,IL27,p129
Adamts6,1.353491715847117e-21,-0.8636126181138892,0.579,0.757,2.1477206547062054e-17,IL27,p129
Ube2l6,1.4070955377294806e-21,3.764428929227026,0.1,0.01,2.2327791992691398e-17,IL27,p129
Erap1,5.251724465067351e-21,0.7998937526824209,0.717,0.517,8.333436381168872e-17,IL27,p129
Parp14,1.6906541701879277e-20,1.4803679575472362,0.332,0.128,2.6827300372542035e-16,IL27,p129
